Multiplier,Female_Accuracy,Female_Selection_Rate,Female_Precision,Female_FNR,Male_Accuracy,Male_Selection_Rate,Male_Precision,Male_FNR,Disparity_Gap_FNR,Disparity_Gap_Precision,Disparity_Gap_Selection_Rate,Global_Accuracy,FNR_Average,Precision_Average
X1,0.9023010184835911,0.0,0.0,1.0,0.9058572949946752,0.00021299254526091586,0.0,1.0,0.0,0.0,0.00021299254526091586,0.9040791567391331,1.0,0.0
X2,0.9019238023387401,0.0003772161448509996,0.0,1.0,0.9047923322683706,0.0012779552715654952,0.0,1.0,0.0,0.0,0.0009007391267144957,0.9033580673035554,1.0,0.0
X3,0.9013579781214636,0.0013202565069784986,0.14285714285714285,0.9980694980694981,0.903940362087327,0.002129925452609159,0.0,1.0,0.0019305019305019266,0.14285714285714285,0.0008096689456306603,0.9026491701043953,0.9990347490347491,0.07142857142857142
X4,0.897774424745379,0.007167106752168993,0.18421052631578946,0.9864864864864865,0.9005324813631523,0.006815761448349307,0.09375,0.9931972789115646,0.006710792425078105,0.09046052631578946,0.00035134530381968586,0.8991534530542657,0.9898418826990256,0.13898026315789475
X5,0.8664654847227461,0.04752923425122595,0.12301587301587301,0.9401544401544402,0.8747603833865815,0.03769968051118211,0.0847457627118644,0.9659863945578231,0.02583195440338293,0.038270110304008606,0.009829553740043843,0.8706129340546638,0.9530704173561316,0.10388081786386871
X6,0.7634854771784232,0.1825726141078838,0.11983471074380166,0.7760617760617761,0.795101171458999,0.1463258785942492,0.12081513828238719,0.8117913832199547,0.03572960715817863,0.0009804275385855293,0.03624673551363461,0.779293324318711,0.7939265796408654,0.12032492451309443
X7,0.6241041116559789,0.36721991701244816,0.12121212121212122,0.5444015444015444,0.6743343982960597,0.306283280085197,0.12169680111265646,0.6031746031746031,0.05877305877305872,0.00048467990053524534,0.06093663692725115,0.6492192549760193,0.5737880737880738,0.12145446116238884
X8,0.509053187476424,0.515843078083742,0.11882998171846434,0.37258687258687256,0.5567625133120341,0.4485623003194888,0.11063627730294397,0.47165532879818595,0.09906845621131338,0.008193704415520378,0.06728077776425317,0.532907850394229,0.4221211006925293,0.11473312951070416
X9,0.4239909468125236,0.6197661259901924,0.11412051125989045,0.27606177606177607,0.4666666666666667,0.5586794462193824,0.1067479984750286,0.36507936507936506,0.089017589017589,0.007372512784861854,0.06108667977081006,0.44532880673959513,0.3205705705705706,0.11043425486745953
X10,0.36043002640513017,0.6946435307431158,0.10996470268802606,0.21814671814671815,0.4023429179978701,0.6370607028753994,0.10464727515880977,0.29024943310657597,0.07210271495985782,0.005317427529216295,0.0575828278677164,0.3813864722015001,0.2541980756266471,0.10730598892341792
